	Prediction	Rewrite
33	Corbin Bleu born?	where was Corbin Bleu born?
34	Corbin Bleu born?	when was Corbin Bleu born?
35	Corbin Bleu's parents?	who were Corbin Bleu's parents?
36	Corbin Bleu have any siblings?	did Corbin Bleu have any siblings?
37	Corbin Bleu's siblings act?	did any of Corbin Bleu's siblings act?
38	Corbin Bleu go to school?	where did Corbin Bleu go to school?
39	Corbin Bleu go to college?	did Corbin Bleu go to college?
40	Corbin Bleu act in college?	did Corbin Bleu act in college?
41	Jan and Dean's death?	when did Jan Berry die?
42	Jan and Dean die of?	what did Jan Berry die of?
43	Jan. Dean buried?	where was Jan Berry buried after death in 2004?
44	Jan and Dean cremated?	why was Jan Berry cremated after death in 2004?
45	Jan and Dean have a wake or viewing for Berry?	Did people have a wake or viewing for Jan Berry's cremation in 2004?
46	the celebration of life for Jan and Dean?	who attended the celebration of life held in Jan Berry's memory at the Roxy Theatre in Hollywood, California?
47	the funeral request of Jan. Dean?	how did Dean react after the death of Jan Berry?
48	sung before death?	did Dean release any songs that Jan Berry had written or sung before death?
49	Jan. Dean have in rememberance of his partner?	Other than album Carnival of Sound, what else does Dean have in remembrance of Jan Berry?
50	the 1978 film Deadman's Curve to perform with the Bamboo Trading Company released?	Aside from film Deadman's Curve, were there other movies or songs released in the memory of Jan Berry?
51	"""Shrewd Awakening"" and ""Tonga Hut"", which was featured on the film Return of the Killer Shrews?"	"what was special about songs ""Shrewd Awakening"" and ""Tonga Hut"" and the movie ""Return of the Killer Shrews""?"
52	the two daughters, Jillian and Tonga Hut, featured on the album Carnival of Sound?	which album featured Dean's daughters?
53	Luke Skywalker write?	what novels did Skywalker write?
54	Luke, The Truce at Bakura, what happens next after the battle of Endor, Luke, and Wedge Antilles recover droid from the titular planet?	what happens next?
55	Luke's novel The Truce at Bakura successful?	was Skywalker successful?
56	Luke's novel The Truce at Bakura, are there any other interesting aspects about this article?	Aside from recovering a message droid from the titular planet are there any other interesting aspects about this article?
57	The Jennings Bryan run for president in the 1900 election?	Did Bryan run for president in the 1900 election?
58	in the 1900 election?	Did Bryan win the election?
59	in the 1900 election?	Was Bryan conservative or liberal?
60	if William Jennings Bryan had won the campaign?	Would Bryan have led us into war if he had won?
61	if McKinley was running in the 1900 election?	What did Bryan think of McKinley?
62	Varg Vikernes commit any arson?	Did Varg Vikernes commit any arson?
63	the first case of Varg Vikernes?	When was the first arson?
64	The Fantoft Stave Church burn?	Why did Varg Vikernes burn Fantoft Stave Church?
65	The Fantoft Stave Church was associated with theistic Satanism?	Were there other claims or comments made about the Fantoft Stave Church arson besides satanism?
66	the Michael Moynihan case go to court?	Did the arson of Fantoft Stave Church go to court?
67	the other cases in addition to Michael Moynihan's case with Varg Vikernes?	What happened in the other stave church arsons aside from Fantoft Stave Church?
68	the first two major stave churches, besides one on Christmas Eve of 1992?	Was Varg Vikernes accused in any of the other major stave churches in addition to Fantoft Stave Church?
69	the Asane Church and Storettit Church ever convicted?	Was Vikernes ever convicted?
70	The Arson of churches, in Bergen, the arson of Asane Church and Storettit Church in Bergen, attempt to defend against Satan?	How did Vikernes attempt to defend himself?
71	the church burnings?	What else did Vikernes have to say about the church arsons aside from his defense?
72	the desecrated graves, our burial mounds, so it's revenge?	Are there any other interesting aspects about this article in addition to revenge by the Christians?
73	Bergens Tidende article?	What is bergens tidende?
74	the reason for Bergens Tidende article?	Why did Bergens Tidende (BT) bring the black metal scene into the media spotlight?
75	the bergens Tidende article?	What happened in the BT interview with Vikernes?
76	a man in Lillehammer?	Did the BT interview with Vikernes happen?
77	the journalists met what happened in the Bergens Tidende article?	What happened when the journalist met with Vikernes?
78	the bergens Tidende article continues?	Did Vikernes's attacks on churches continue?
79	the bergens Tidende article published?	Was the BT interview with Vikernes published?
80	a photo of Vikernes?	What was the public's reaction to the BT article with Vikernes?
81	vikernes say anything else about the article other than Vikernes meeting Vikernes?	Did Vikernes say anything else about the article with BT besides his controversial church-burning statements?
82	the vikernes say more about the Bergens Tidende article?	Did Vikernes say anything more about the article with BT?
83	The Fires as a result of the article?	Were there any consequences as a result of Vikernes's article with BT?
84	the consequences for the rest of the scene?	What were the consequences as a result of Vikernes's article with BT?
85	Lillie Langtry?	Who's mistress was Lillie Langtry?
86	Lillie Langtry and Prince meet?	How did Prince meet Lillie Langtry?
87	Lillie Langtry's affair last?	How long did the affair between Prince and Lillie Langtry last?
88	Lillie Langtry's affair end?	Why did the affair between Prince and Lillie Langtry end?
89	Lillie Langtry's affairs with anyone else other than Lillie Langtry?	Did Lillie Langtry have affairs with anyone else, besides Prince?
90	Lillie Langtry's child's name?	What was Lillie Langtry's child's name?
91	Lillie Langtry's relationship with Arthur Jones?	Did Lillie Langtry stay successful?
92	Lillie Langtry's occupation?	what was Lillie Langtry's occupation?
93	"""That Was the Week That Was"" reception about"	what was the reception about
94	the Week That Was recieve complaints from organisations and establishment figures?	Why did BBC recieve complaints?
95	"""hatred"" of the Prime Minister?"	Why did frost hate the prime minister?
96	"""hatred"" of the prime minister ""that is interesting""?"	Besides the BBC complaints what else about the reception that is interesting?
97	the Week That Was, Reception?	why did boy scouts have an issue?
98	"""that Was the week that was""?"	what sexuality was lord baden powell?
99	Ursula K. Le Guin's influence her?	what influenced Le Guin?
100	Ursula K. Le Guin was influenced by fantasy writers?	who were Le Guin fantasy writers?
101	J. R. Tolkien?	how did fantasy writers influence Le Guin?
102	influenced her?	Besides J. R. R. Tolkien which other fantasy writer influenced Le Guin?
103	influenced her?	how did Philip influence Le Guin?
104	influenced her other than fantasy writers?	Along with Philip K. Dick did Le Guin have other influences other than fantasy writers?
105	influenced her by fantasy writers?	Besides Virginia Woolf and which other feminist writers?
106	influenced her by fantasy writers?	what was Le Guin's biggest influence?
107	influenced her?	what influence did The Lord of the Rings have?
108	Tim Kaine's grand strategy?	What was Tim Kaine's grand strategy?
109	Tim Kaine work to promote democracy?	How did Tim Kaine work to promote democracy?
110	Tim Kaine have the backing of other politicians other than the United States?	Does Tim Kaine have the backing of other politicians besides democrats?
111	Tim Kaine's grand initiative?	What else besides promoting democracy is interesting about this article?
112	Tim Kaine's grand strategy?	What do other countries besides the Unites States think of the policy?
113	Anna Ella Carroll get into politics?	What made Anna Ella Carroll get into politics?
114	Anna Ella Carroll when she started the American Democratic Party?	Where was Anna Ella Carroll when she started the american party?
115	Anna Ella Carroll do in her political years other than start the American Democratic Party?	What else did Anna Ella Carroll do in her political years aside from starting the American Party??
116	Anna Ella Carroll when running against urban machine corruption, crime, and the power of the Catholic Catholic Church?	Where was Anna Ella Carroll when wrote against urban machine corruption, crime, and what was perceived as the political threat of the power of the Catholic Church??
117	Anna Ella Carroll's plan or outcome for the Catholic Church?	What was Anna Ella Carroll's plan or outcome for writing against urban machine corruption, crime, and what was perceived as the political threat of the power of the Catholic Church
118	The Tragically Hip get any awards during Day for Night and Trouble at the Henhouse to Live Between Us?	Did The Tragically Hip get any awards during their Day for Night and Trouble at the Henhouse to Live Between Us period?
119	The Tragically Hip, Day for Night and Trouble at the Henhouse to Live Between Us sing?	What songs did The Tragically Hip sing?
120	The Tragically Hip, Day for Night and Trouble at the Henhouse to Live Between Us	What countries did The Tragically Hip perform in?
121	The Tragically Hip's top hit?	What was The Tragically Hip's top hit?
122	The Tragically Hip, Day for Night and Trouble at the Henhouse to Live Between Us?	Did The Tragically Hip change any members?
123	Gary Oldman resurgence or comeback role?	What was the resurgence or comeback role for actor Gary Oldman?
124	Gary Oldman's resurgence or comeback role in the Harry Potter film series?	Are there any other interesting aspects about this article about Gary Oldman Besides his role in Harry Potter?
125	Gary Oldman receive a BAFTA Award nomination for?	What role did Gary Oldman receive a nomination for besides Harry Potter?
126	Gary Oldman ever have a starring role?	Did Gary Oldman ever have a starring role besides in Harry Potter?
127	in the Harry Potter movie a success?	Was Harry Potter a success for Gary Oldman?
128	Gary Oldman ever win any other awards other than the Harry Potter film nomination?	Did Gary Oldman ever win any other awards besides the Academy Award Nomination?
129	Gary Oldman's success?	What garnered Gary Oldman's success?
130	Gary Oldman's JFK successful?	Was Gary Oldman's first movie JFK successful?
131	Gary Oldman do in 2000 of note?	What did Gary Oldman do in 2000 of note?
132	Gary Oldman receive any recognition for The Contender (2000)?	Did Gary Oldman receive any recognition for The Contender?
133	Gary Oldman ever do any foreign films during 1991-2001?	Did Gary Oldman ever do any foreign films during 2000?
134	Gary Oldman's most successful film during 1991-2001?	What was Gary Oldman's most successful film in 2000?
135	a box office success worldwide?	Did Gary Oldman promote the film Dracula?
136	Hank Snow to Nashville	what led Hank Snow to Nashville?
137	Hank Snow get his start in Nasville?	Where did Hank Snow get his start in Nashville?
138	Hank Snow's most popular song?	What was Hank Snow's most popular song?
139	Hank Snow win any awards?	Did Hank Snow win any awards?
140	Hank Snow play any live shows?	Did Hank Snow play any live shows?
141	the concertos Tan Dun wrote?	What is one of the concertos Tan Dun wrote?
142	the I Ching (Yi Jing in pinyin) performed live anywhere?	Were the Yi series performed live anywhere?
143	the I Ching concertos, and chamber works?	Aside from the Yi series, What was another piece that Tan Dun wrote?
144	symphony for the YouTube Symphony Orchestra (YTSO) project?	Aside from the Youtube Symphony Orchestra project, Are there any other interesting aspects about this article?
145	the piece Tan Dun wrote for Google and YouTube?	What was the title of the piece Tan Dun wrote for Google and YouTube?
146	mashup video?	How much did Google and Youtube pay Tan Dun for Eroica?
147	Tan Dun write for specific instruments, like the piano for example?	Does Tan Dun write for specific instruments, like the piano for example?
148	eroica pieces?	When did Tan Dun begin writing cello solo pieces?
149	Tan Dun wrote mentioned in the article?	Is there another piece aside from Eroica written by Tan Dun mentioned in the article?
150	Tan Dun's concerto called Four Secret Road of Marco Polo?	When did Tan Dun write Secret Land?
151	the land?	What was the relation between Chaldea and the land?
152	the territories of Chaldea?	When did Chaldea describe the territories?
153	the territory located?	Where was the territory which were described by Chaldea located?
154	extending to the western shores of the Persian Gulf?	Are there any other interesting aspects in addition to Chaldea territories?
155	The boundaries of the early lands settled by Chaldeans in the early 800s BC?	Who later identified Chaldea?
156	The boundaries of the early lands settled by historians as?	What does the man who late identified territories referred it as?
157	Paul Verhoeven did in the US?	What was the first film Paul Verhoeven did in the US?
158	the genre of films did Paul Verhoeven make?	What genre of films did Paul Verhoeven make?
159	Paul Verhoeven's first film debut?	What year did was Paul Verhoeven's first film debut?
160	Paul Verhoeven's first film in the US?	Who starred in Paul Verhoeven's first film in the US?
161	Paul Verhoeven films he made in the US?	What was another one of his films Paul Verhoeven made in the US?
162	Flesh and Blood receive any awards?	"Did Paul Verhoeven's ""Basic Instinct"" receive any awards?"
163	Paul Verhoeven's films in the US?	Are there any other interesting aspects about this article other than Paul Verhoeven's film career?
164	"Paul Verhoeven's ""award"" in person?"	What year was it when Paul Verhoeven accepted an award?
165	Paul Verhoeven starred in Showgirls?	Did Paul Verhoeven star in Showgirls?
166	Boris Yeltsin second term?	When was Boris Yeltsin's second term?
167	WHen was Boris Yeltsin's second term?	Are there any other interesting aspects about this article, aside from Boris Yeltsin's second term in 1996?
168	Boris Yeltsin's second term?	What did Boris Yeltsin do during his second term?
169	Boris Yeltsin's opposition to NATO?	What became of Boris Yeltsin's opposition to NATO during the 1999 Kosovo war?
170	Boris Yeltsin's second term?	Who did Boris Yeltsin run against in his second term?
171	Boris Yeltsin's second term?	Did Boris Yeltsin implement any policies during his second term?
172	Boris Yeltsin's second term?	What was done with Boris Yeltsin's funds?
173	Boris Yeltsin's second term?	what was Boris Yeltsin known for during his second term?
174	Boris Yeltsin's second term?	Who succeeded Boris Yeltsin?
175	Boris Yeltsin's second term?	Did Boris Yeltsin run for a 3rd term?
176	The Seekers return to Australia and breakup?	when did the the Seekers return to austrailia?
177	The Seekers return to Australia and breakup?	Are there any other interesting aspects about this article in addition to The Seekers returning to Australia?
178	The Seekers' homecoming tour?	what was the Seekers homecoming tour?
179	The Seekers win any awards?	did The Seekers win any awards?
180	The Seekers were in attendance at a concert in the Southern Hemisphere?	how many people attended the Seekers' concert in the Southern Hemisphere?
181	the The Seekers do next after their return to Australia and breakup?	what did the Seekers do next?
182	The Seekers Down Under?	what role did the seekers play?
183	The Seekers Down Under, did The Seekers win any awards?	did the Seekers win any awards?
184	The Seekers Down Under have the honor of joint Australians of the Year?	why did the Seekers have the honor of winning awards?
185	The Seekers Down Under, in recognition of its achievements?	For which achievements did the Seekers win the awards?
186	The Seekers discovered?	When were the Seekers discovered?
187	The Seekers from?	Where was the Seekers from?
188	The Seekers' first album?	What was the Seekers first album?
189	The Seekers' first album?	Does the article mention anything about the Seekers first album?
190	The Seekers first album?	So why did you say not to follow up :( Is there anything additional about the Seekers album?
191	The Seekers?	Who discovered the Seekers?
192	EMI's discovery?	Is there any other important data in addition to the Seekers discovery?
193	the The Seekers, Discovery in the United Kingdom?	What was the Seekers single?
194	EMI's discovery?	What else can you tell me about along with the Seekers discovery?
195	"""The Carnival Is Over"" make the charts?"	Did any single on the Seekers album make the charts?
196	Gerald of Wales born?	Where was Gerald of Wales born?
197	the first key event in Gerald's life?	What was the first key event in the life of Gerald of Wales?
198	c. 1146 at Manorbier Castle surrounding Gerald's death?	Were there suspicious circumstances surrounding the death of Gerald of Wales?
199	Gerald of Wales able to have a family?	Was Gerald of Wales able to have a family?
200	Gerald's education at the Benedictine house of Gloucester during his life outside of his work?	Did anything exciting happen to Gerald of Wales during his life outside of his work?
201	Gerald of Wales move around a lot, aside from his travels with the King?	Did Gerald of Wales move around a lot, aside from his travels with the King?
202	he first start singing	When did Afrika Bambaataa first start singing?
203	Bambaataa have a lot of hits?	Did Afrika Bambaataa have a lot of hits?
204	a lot of hits?	What were some of Afrika Bambaataa's hits?
205	Bambaataa do concerts?	Did Afrika Bambaataa do concerts?
206	Bambaataa's followers make a lot of money?	Did Afrika Bambaataa and followers make a lot of money on the first hip hop tour in 1982?
207	a group of dancers, artists, and DJs do any charity work?	Did Afrika Bambaataa and followers do charity work?
208	he still singing?	Is Afrika Bambaataa still singing?
209	the high tech of Afrika Bambaataa?	what is the high tech?
210	Hank Azaria's done?	What is some voice work Hank Azaria is done?
211	Hank Azaria direct or write any other films besides Nobody's Perfect?	Did Hank Azaria direct or write any other films other than Further voice work?
212	Hank Azaria film?	How successful was Further voice work film?
213	Hank Azaria collaborate with anyone?	Did Hank Azaria collaborate with anyone?
214	Hank Azaria did other than directing the 2004 short film Nobody's Perfect?	What other work did Hank Azaria do other than directing and writing?
215	Hank Azaria win any awards?	Did Hank Azaria win any awards?
216	Hank Azaria being nominated for Best Performance by a Leading Actor in a Musical.	Is there any other interesting information other than Hank Azaria's writing and direction?
217	Lyndon B. Johnson elected in anything in 11th grade?	was Johnson elected in anything in 11th grade?
218	Lyndon B. Johnson's father and grandfather joined?	what was the name of the church Johnson's father and grandfather joined?
219	Lyndon B. Johnson's grandfather?	who was johnsons grandfather?
220	Lyndon B. Johnson maternal descendant of?	who was Johnson maternally a descendant of?
221	the reason behind returning to guitar oriented sound?	What was the reasoning behind returning to guitar oriented sound?
222	oriented sound affect Rush's album sales?	Did Rush returning to guitar oriented sound affect album sales?
223	Rush go on hiatus?	Why did Rush go on hiatus?
224	a reason behind the hiatus of Rush?	Was there a reason behind the hiatus?
225	a reason behind the hiatus?	What happened to Peart?
226	SPI failure and FUNAI?	What is FUNAI?
227	the government established Fundacao Nacional do Indio, known as FUNAI?	What is the purpose of FUNAI?
228	the government?	Is FUNAI involved in the government?
229	Xingu National Park?	How large is Xingu National Park?
230	Xingu National Park established by the Federal Government in Brazil?	Besides protecting the Brazilian indigenous populations, has FUNAI done anything else?
231	utical considerations of Columbus?	What are some nautical considerations of Columbus?
232	Christopher Columbus right about in terms of nautical considerations?	What was Columbus right about in terms of nautical considerations?
233	Christopher Columbus' real life voyages go?	How did some of Columbus' real life voyages go?
234	brisk trade winds from the east, propelled Columbus' fleet for 5 weeks?	Besides being propelled by Easterlies, did anything else happen during Columbus' first voyage?
235	brisk trade point San Salvador Island known for anything historically important?	In Columbus' times, was San Salvador Island known for anything historically important?
236	brisk trade winds in the first voyage in 1492?	Besides being propelled by Easterlies, did anything else happen in Columbus' first voyage in 1492?
237	brisk trade winds northeastward to middle Latitudes of the North Atlantic successful then using his nautical knowledge?	Was Columbus' 1492 voyage successful using his nautical knowledge?
238	if Christopher Columbus used to utilize the winds on his voyage?	What sailing techniques did Columbus use to utilize the winds?
239	Departure of Michael Tapper and Brain Thrust Mastery	When did Tapper leave We Are Scientist?
240	he chose to leave We Are Scientists?	Do we know why Tapper chose to leave We are Scientists?
241	Michael Tapper and Brain Thrust Mastery do for a drummer, then?	What did We are scientists do for a drummer, then when Tapper left?
242	the remainder of the tour with Gary Powell and Adam Aaronson?	Which tour did Adam Aaronson take over Tapper in We are Scientists?
243	Is Brain Thrust Mastery an album or a single?	Is Brain Thrust Mastery an album or a single?
244	"the ""self-improvement seminars""?"	"What happened during Brain Thrust Mastery ""self-impovement seminars""?"
245	All the same members of We Are Scientists members of Brain Thrust Mastery?	Were all the same members of We Are Scientists members of Brain Thrust Mastery?
246	"""self-improvement seminars"" during 2007-2009?"	Did Brain Thrust Mastery have any acclaimed singles during the self-improvement seminars?
247	Debra Marshall, Manager of the Womens Champion in 1998?	what happened to Debra Marshall, Manager of Jeff Jarrett in 1998?
248	Debra Marshall do in the WWF?	what did Debra Marshall do in the wwf?
249	Debra Marshall work with?	who did debra marshall work with?
250	Debra Marshall do on wwf in addition to playing with businesswoman?	what else did debra marshall she do on wwf, besides work with The Blue Blazer?
251	Norte Chico civilization, Cotton and food sources?	Are there any other interesting aspects about this article?
252	Norte Chico civilization like?	What was Norte Chico s civilization like?
253	Norte Chico civilizations development is remarkable for the apparent absence of a staple food?	Why is Norte Chico's development remarkable?
254	Norte Chico civilization had the most abundance of?	What food sources did Norte Chico have the most abundance of?
255	dietary backbone of Norte Chico civilization?	Is there anything of note about the cotton the article speaks of?
256	Norte Chico's food source mainly plant or meat based?	Was Norte Chico s food source mainly plant or meat based?
257	the Atlantic produced records?	What were the Atlantic produced records?
258	Sam and Dave do?	What did Sam and Dave do?
259	Sam and Dave split?	What happened after Sam & Dave split?
260	?	Who is Moore?
261	Sam Moore do after splitting up?	What did Sam Moore do after splitting up?
262	Sam do?	In addition to recording three solo singles, what else did Sam do?
263	Sam and Dave reunite?	When did Sam and Dave reunite?
264	the Anquetil years?	What happened with Raymond Poulidor during the Anquetil years?
265	Raymond Poulidor finish in second place in the 1964 Tour de France?	Did Raymond Poulidor finish in second place in the 1964 Tour de France?
266	Anquetil?	Did Raymond Poulidor ever beat Anquetil?
267	Anquetil?	How many times did Raymond Poulidor face off against Anquetil?
268	Anquetil years?	Is there any interesting information about Raymond Poulidor and Anquetil?
269	Anquetil races other than the one in the mountains and win time in the time-trials?	Aside from 1964, did Raymond Poulidor and Anquetil have any other close races?
270	Anquetil's last race against each other?	When was Raymond Poulidor and Anquetil's last race against each other?
271	G.o.d's musical style?	What is the G.o.d musical style?
272	g.o.d's album use?	What kinds of elements do G.o.d use?
273	"G.o.d's debut single ""To Mother"" (eomeonimgge)"	In addition to elements of hip hop and a refrain sung in R&B style in their debut single,are there any other different elements G.o.d have used?
274	"the upbeat and rhythmic ""Friday Night"" from the second album heavily features funk elements and the ballad?"	Besides the G.o.d different styles,are there any other interesting aspects about this article?
275	g.o.d win any awards?	Did G.o.d win any awards?
276	g.o.d's style?	In addition to the fact that G.o.d were one of the few first generation K-pop groups to incorporate genres such as rap and hip hop into music,is there anything else notable about G.o.d style?
277	the group's unique blend of five distinctly different voices?	Together with critics and media noting the G.o.d's unique blen,what else did people have to say about G.o.d?
278	the article say about white light?	What does the article say about Gene Clark's white light?
279	the album White Light by Gene Clark a success?	Was the album White Light a success?
280	acclaim from the White Light album?	What did Gene clark do after the failed album White Light?
281	"the tracks ""American Dreamer"" and ""Outlaw Song"" to Hopper's film project American Dreamer""?"	Who worked on White Light with Clark?
282	"""American Dreamer"" and ""Outlaw Song""?"	What songs were on the album White Light by Gene Clark?
283	"""With Tomorrow"", ""Because of You"" and ""For a Spanish Guitar"" released in films?"	Did Gene Clark have any songs released in films?
284	"recorded, longer version of the song ""American Dreamer""?"	What does the article say about Gene Clark's RoadMaster?
285	the 1972 film The Farmer project?	Why did A&M terminate Gene Clarks project, Roadmaster?
286	The Cheap Trick's Classic years?	what were the classic years for Cheap Trick?
287	"the ""Friction Trick"" album released in early 1977 big?"	did Cheap Trick make it big?
288	"the album ""Friction Trick"" not successful in terms of sales?"	Are there any other interesting aspects about this article, besides that Classic Years was not successful in terms of sales?
289	the band Cheap Trick go on tour?	did Cheap Trick go on tour?
290	the band Cheap Trick's best hit?	what was the band Cheap Trick's best hit?
291	"the ""I Want You To Want Me"" and ""Clock Strikes Ten"" in his life?"	In addition to recording vocals for Cheap Trick, what else did Robin Zander do in his life?
292	the band was signed to Epic Records in early 1976?	who did Cheap Trick work with?
293	the band Epic Records in early 1976 by A&R man Tom Werman?	who else besides producer Jack Douglas did Cheap Trick work with?
294	Paul Ryan run for speaker of the house?	When did Paul Ryan begin his run for Speaker of the House?
295	Paul Ryan help implement?	What policies did Paul Ryan help implement or was a part of?
296	Paul Ryan's bid for the seat of Speaker of the House?	What happened when Paul Ryan bid for the Speaker of the House seat?
297	Paul Ryan resign?	Why did Paul Ryan resign his Speaker of the House seat?
298	Paul Ryan do while in office?	What did Paul Ryan do while he was Speaker of the House?
299	Paul Ryan's constituent services?	What happened during Paul Ryan's constituent services?
300	Paul Ryan reelected to the House in 1998?	And was Paul Ryan reelected?
301	Paul Ryan run against in the first election?	Who did Paul Ryan run against in the first election?
302	Paul Ryan ran against in the other 8 times he ran?	Aside from Michael J. Logan, was there anyone else Ryan ran against in the other 8 times Ryan ran?
303	reed with in the 2000, 2002, and 2006 election?	Other than Jeffrey C. Thomas, who else has Ryan ran against?
304	John Major running for in the 1992 election?	what was John Major running for?
305	John Major running for in the 1992 election?	Other than the 1992 election, are there any other interesting aspects about this article?
306	a platform John Major ran on?	What was the platform John Major ran on?
307	John Major running on in the 1992 election?	What happened during the 1992 election?
308	the conservatives?	Who was running for the conservatives?
309	The Daily Show differences between Stewart and Noah?	What were the differences between Stewart and Noah?
310	The Daily Show with an updated set, new stylistic changes were there?	In addition to changes in the tone of the show what other stylistic changes were there?
311	a screen in front of a screen at the desk.	Aside from implementing stylistic changes what other things has Noah done?
312	a more millennial-based references, impersonations and characterizations for his comedy on the show, due to what reason?	Due to what reason?
313	he changed the staff of The Daily Show?	Did Noah change the staff of the show?
314	Victor Davis Hanson received most of his education?	Where did Victor Davis Hanson received most of his education?
315	Victor Davis Hanson have any problems in college?	Did Victor Davis Hanson have any problems in college?
316	Victor Davis Hanson do after college?	What did Victor Davis Hanson do after college?
317	Hoover Institution, Fresno?	Does Victor Davis Hanson have any living family?
318	emeritus at California State University, Fresno's life?	Besides his education, Is there anything else interesting about Victor Davis Hanson's life?
319	The Newark Institution, Fresno, and The New Criterion that Hanson published?	What is the name of an article Victor Davis Hanson published?
320	emeritus at California State University, Fresno create controversy?	Did any of Victor Davis Hanson;s publucations create controversy?
321	The Newark, The New York Times, and The New Criterion?	Besides his college honors, what other awards did Victor Davis Hanson win?
322	Harold Innis' influence in the 1930s?	What did Harold Innis do that was important in the 1930's?
323	Innis wrote extensively in the 1930s?	What are the Staple products Harold Innis wrote about?
324	Innis involved in fisheries?	How was Harold Innis involved in fisheries?
325	Innis' study conclude about cod fisheries?	What did Harold Innis studyies about Cod fisheries conclude?
326	Harold Innis' take on politics?	What was Harold Innis take on politics?
327	Harold Innis' take on politics?	Other than Harold Innis denouncing partisans, are there any other interesting aspects about this article?
328	a radical conservative of his day?	Why was Harold Innis called radical conservative of his day?
329	Harold Innis imported from?	"where were political ""solutions"" imported from?"
330	Diane Schuur discovered?	When was Schuur discovered?
331	Diane Schuur hired by Ed Shaughnessy?	Was Schuur hired by Ed Shaughnessy?
332	Energy Force?	What did Schuur do after working for Ed Shaughnessy?
333	Diane Schuur ever win any awards?	Did Schuur ever win any awards?
334	Diane Schuur ever record an album?	Did Schuur ever record an album after being discovered?
335	a set at the Monterey Jazz Festival?	What record label released Schuur album, Pilot of my Destiny?
336	a set at the Monterey Jazz Festival successful?	Was Schuur album, Pilot of my Destiny successful?
337	"the album ""Planet of Destiny""?"	Besides that Schuur first album was not successful, are there any other interesting aspects about this article?
338	Severinsen on a TV show?	was Schuur in any TV show in her whole career?
339	Nick Carter born?	Where was Nick Carter born?
340	Nick Carter first get into music?	When did Nick Carter first get into music?
341	Nick Carter ever go to college?	Did Nick Carter ever go to college?
342	Nick Carter have any siblings?	Did Nick Carter have any siblings?
343	Curtly Ambrose cricket debut?	When did Curtly Ambrose make his cricket debut?
344	Curtly Ambrose win the match on 12 March 1988?	Did Curtly Ambrose win the match on 12 March 1988?
